run_id,portal,scraped_at,insurers_returned,rows,status
473,Falabella,2025-08-10 16:00:01,8,8,success
474,Falabella,2025-08-10 16:30:01,8,8,success
475,Falabella,2025-08-10 17:00:01,8,8,success
476,Falabella,2025-08-10 17:30:01,8,8,success
477,Falabella,2025-08-10 18:00:05,8,8,success
478,Falabella,2025-08-10 18:30:02,8,8,success
479,Falabella,2025-08-10 19:00:02,8,8,success
480,Falabella,2025-08-10 19:30:02,8,8,success
481,Falabella,2025-08-10 20:00:01,7,7,success
482,Falabella,2025-08-10 20:30:01,8,8,success
483,Falabella,2025-08-10 21:00:01,8,8,success
484,Falabella,2025-08-10 21:30:01,8,8,success
485,Falabella,2025-08-10 22:00:01,8,8,success
486,Falabella,2025-08-10 22:30:01,8,8,success
487,Falabella,2025-08-10 23:00:02,8,8,success
488,Falabella,2025-08-10 23:30:02,8,8,success
489,Falabella,2025-08-11 00:00:02,8,8,success
490,Falabella,2025-08-11 00:30:02,8,8,success
491,Falabella,2025-08-11 01:00:02,8,8,success
492,Falabella,2025-08-11 01:30:01,8,8,success
493,Falabella,2025-08-11 02:00:01,8,8,success
494,Falabella,2025-08-11 02:30:01,8,8,success
495,Falabella,2025-08-11 03:00:01,8,8,success
496,Falabella,2025-08-11 03:30:01,7,7,success
497,Falabella,2025-08-11 04:00:01,8,8,success
498,Falabella,2025-08-11 04:30:02,8,8,success
499,Falabella,2025-08-11 05:00:02,8,8,success
500,Falabella,2025-08-11 05:30:02,8,8,success
501,Falabella,2025-08-11 06:00:02,7,7,success
502,Falabella,2025-08-11 06:30:01,8,8,success
503,Falabella,2025-08-11 07:00:01,7,7,success
504,Falabella,2025-08-11 07:30:01,7,7,success
505,Falabella,2025-08-11 08:00:01,8,8,success
506,Falabella,2025-08-11 08:30:01,8,8,success
507,Falabella,2025-08-11 09:00:02,8,8,success
508,Falabella,2025-08-11 09:30:02,5,5,success
509,Falabella,2025-08-11 10:00:02,8,8,success
510,Falabella,2025-08-11 10:30:02,8,8,success
511,Falabella,2025-08-11 11:00:02,7,7,success
512,Falabella,2025-08-11 11:30:01,7,7,success
513,Falabella,2025-08-11 12:00:01,8,8,success
514,Falabella,2025-08-11 12:30:01,8,8,success
515,Falabella,2025-08-11 13:00:01,8,8,success
516,Falabella,2025-08-11 13:30:01,8,8,success
517,Falabella,2025-08-11 14:00:01,5,5,success
518,Falabella,2025-08-11 14:30:01,8,8,success
519,Falabella,2025-08-11 15:00:02,6,6,success
520,Falabella,2025-08-11 15:30:02,7,7,success
521,Falabella,2025-08-11 16:00:02,8,8,success
522,Falabella,2025-08-11 16:30:02,6,6,success
523,Falabella,2025-08-11 17:00:02,8,8,success
524,Falabella,2025-08-11 17:30:02,8,8,success
525,Falabella,2025-08-11 18:00:05,8,8,success
526,Falabella,2025-08-11 18:30:02,8,8,success
527,Falabella,2025-08-11 19:00:01,8,8,success
528,Falabella,2025-08-11 19:30:01,8,8,success
529,Falabella,2025-08-11 20:00:01,8,8,success
530,Falabella,2025-08-11 20:30:01,8,8,success
531,Falabella,2025-08-11 21:00:01,8,8,success
532,Falabella,2025-08-11 21:30:01,8,8,success
